codigo;opción;ejemplos
q_1.1.1a;I have personal information online;NA
q_1.1.1a;I don't think I have personal information online;NA
q_1.1.1a;I’m not sure;NA
q_1.1.1b;Name;e.g. Blog, discussion forum, social media, dating website
q_1.1.1b;Address (postal or email);e.g. On-line shopping
q_1.1.1b;Date of birth;e.g. Social media, ancestry, genealogy sites
q_1.1.1b;Bank account;e.g. Online banking, tax information
q_1.1.1b;Medical information ;e.g. Prescriptions, health apps, menstruation tracker, symptoms
q_1.1.1b;DNA information;"e.g. via research project, biobank; DNA readout or results"
q_1.1.1b;Photographs;e.g. Social media, work website
q_1.1.2a;Yes, these should have the same level of protection ;NA
q_1.1.2a;Some should have greater levels of protection.;NA
q_1.1.2a;I’m not sure;NA
1.1.3a;Yes;NA
1.1.3a;No;NA
1.1.3a;I’m not sure;NA
1.1.4a;Yes, I’m familiar through my work, personal interests or family/medical history;NA
1.1.4a;I’m unfamiliar with DNA, genetics or genomics;NA
1.1.4b;Person interested in ancestry/genealogy websites;NA
1.1.4b;Direct-to-consumer company customer ;e.g. 23andMe
1.1.4b;Biobank participant;NA
1.1.4b;Person with a genetic condition or family history of an inherited condition;NA
1.1.4b;Genetic health professional ;e.g. Clinical geneticist, genetic counsellor, clinical lab staff, work in genetics services in a clinical setting
1.1.4b;Genetic researcher/student  institute, non-profit or for-profit;e.g. lab, bioinformatician, management, social science, ethics, policy, public health, public engagement, administration in a genetics institute, non-profit or for-profit
1.1.4b;Non-genetics researcher/student;e.g. management, social science, ethics, policy, public health, public engagement, administration
1.1.4b;Non-genetics health professional ;e.g. nurses, GPs, surgeons, hospital specialists, hospital administration staff, medical students
1.1.4b;Research participant in any genetics research ;e.g. as a healthy volunteer or as a person with a particular genetic condition or family history of an inherited condition
2.2.1a;Yes;NA
2.2.1a;I’m not completely sure;NA
2.2.2a;I’m very worried;NA
2.2.2a;I’m somewhat worried;NA
2.2.2a;I’m not worried;NA
2.2.2a;I don’t really care;NA
2.2.3a;Yes;NA
2.2.3a;I’m not completely sure;NA
2.2.4a;I’m very worried;NA
2.2.4a;I’m somewhat worried;NA
2.2.4a;I’m not worried;NA
2.2.4a;I don’t really care;NA
2.2.5a;For me, DNA information is different to other medical information;NA
2.2.5a;For me, DNA information is different to other medical information;NA
2.2.5a;For me, DNA information is different to other medical information;NA
2.2.6a;My decision to donate is wholly influenced by being able to get my DNA readout in return;NA
2.2.6a;My decision to donate is partly influenced by being able to get my DNA readout in return, but it is also influenced by other factors;NA
2.2.6a;My decision to donate is not influenced by being able to get my DNA readout in return, I would donate for other reasons;NA
2.2.6a;I wouldn’t donate my DNA information;NA
2.2.6a;I’m not sure;NA
3.3.1a;Yes;NA
3.3.1a;No;NA
3.3.1a;I'm not sure;NA
4.4.1a;Yes;NA
4.4.1a;No;NA
4.4.1a;I'm not sure;NA
5.5.1a;Yes;NA
5.5.1a;No;NA
5.5.1a;I'm not sure;NA
6.6.1a;I wouldn’t donate my DNA information and medical information;NA
6.6.1a;I’d donate my DNA information and medical information so it could be used by... (click on the boxes below);NA
6.6.1b;Would not donate;NA
6.6.1b;I’d accept a 1% chance of being identified;NA
6.6.1b;I’d accept a 10% chance of being identified;NA
6.6.1b;I’d accept a 50% chance of being identified;NA
6.6.1b;I’d accept a 90% chance of being identified;NA
6.6.1b;Don’t know;NA
6.6.1c;Would not donate;NA
6.6.1c;I’d accept a 1% chance of being identified;NA
6.6.1c;I’d accept a 10% chance of being identified;NA
6.6.1c;I’d accept a 50% chance of being identified;NA
6.6.1c;I’d accept a 90% chance of being identified;NA
6.6.1c;Don’t know;NA
6.6.1d;Would not donate;NA
6.6.1d;I’d accept a 1% chance of being identified;NA
6.6.1d;I’d accept a 10% chance of being identified;NA
6.6.1d;I’d accept a 50% chance of being identified;NA
6.6.1d;I’d accept a 90% chance of being identified;NA
6.6.1d;Don’t know;NA
6.6.2a;Yes;NA
6.6.2a;No;NA
6.6.2a;I'm not sure;NA
6.6.3a;Yes;NA
6.6.3a;No;NA
6.6.3a;I'm not sure;NA
6.6.4a;Not bothered;NA
6.6.4a;Concerned;NA
6.6.4a;Very concerned;NA
6.6.4a;I'm not sure;NA
6.6.4b;Not bothered;NA
6.6.4b;Concerned;NA
6.6.4b;Very concerned;NA
6.6.4b;I'm not sure;NA
6.6.4c;Not bothered;NA
6.6.4c;Concerned;NA
6.6.4c;Very concerned;NA
6.6.4c;I'm not sure;NA
6.6.4d;Not bothered;NA
6.6.4d;Concerned;NA
6.6.4d;Very concerned;NA
6.6.4d;I'm not sure;NA
6.6.4e;Not bothered;NA
6.6.4e;Concerned;NA
6.6.4e;Very concerned;NA
6.6.4e;I'm not sure;NA
6.6.4f;Not bothered;NA
6.6.4f;Concerned;NA
6.6.4f;Very concerned;NA
6.6.4f;I'm not sure;NA
6.6.4g;Not bothered;NA
6.6.4g;Concerned;NA
6.6.4g;Very concerned;NA
6.6.4g;I'm not sure;NA
6.6.4h;Not bothered;NA
6.6.4h;Concerned;NA
6.6.4h;Very concerned;NA
6.6.4h;I'm not sure;NA
6.6.4i;Not bothered;NA
6.6.4i;Concerned;NA
6.6.4i;Very concerned;NA
6.6.4i;I'm not sure;NA
6.6.4j;Not bothered;NA
6.6.4j;Concerned;NA
6.6.4j;Very concerned;NA
6.6.4j;I'm not sure;NA
6.6.4k;Not bothered;NA
6.6.4k;Concerned;NA
6.6.4k;Very concerned;NA
6.6.4k;I'm not sure;NA
6.6.4l;Not bothered;NA
6.6.4l;Concerned;NA
6.6.4l;Very concerned;NA
6.6.4l;I'm not sure;NA
6.6.5a;My friends potentially knowing something about me that I hadn’t chosen to tell them;NA
6.6.5a;My family potentially knowing something about me that I hadn’t chosen to tell them;NA
6.6.5a;My government potentially knowing something about me that I hadn’t chosen to tell them;NA
6.6.5a;Police potentially knowing something about me that I hadn’t chosen to tell them;NA
6.6.5a;Marketing companies targeting me to sell me products;NA
6.6.5a;Being stigmatised and labelled in some way online;NA
6.6.5a;Being cloned;NA
6.6.5a;My DNA being copied and then planted at the scene of a crime;NA
6.6.5a;Health or life insurance companies using the information to discriminate against me;NA
6.6.5a;Employers using the information to discriminate against me;NA
6.6.5a;Upsetting my genetic relatives (because my DNA information is similar to their DNA information);NA
6.6.5a;Ethnic identification and racial discrimination;NA
6.6.6a;Yes;NA
6.6.6a;No;NA
6.6.6a;I'm not sure;NA
7.7.1a;whether my identifying information (name, date of birth etc) would be included or not;NA
7.7.1a;who has control over access to my information;NA
7.7.1a;what sorts of research my information could be used in;NA
7.7.1a;the potential risks and benefits of making a donation;NA
7.7.1a;how the researcher might benefit from accessing my information;NA
7.7.1a;what commercial profits would be made on the basis of my information;NA
7.7.1a;what sort of researchers are likely to access my information;NA
7.7.1a;how I might be acknowledged for my contribution to scientific knowledge;NA
7.7.1a;if the researchers were going to make money with the results (e.g. from patents);NA
7.7.1a;whether I would have access to the DNA readout generated by researchers;NA
7.7.1a;if I can participate in the governance of data access;NA
7.7.1a;how I will be assisted if there is a data breach;NA
7.7.1a;None of this information would help me make a decision;NA
7.7.1a;I wouldn’t donate my DNA information and/or medical information (note: not sure if this is included in the question 7.7.1a);NA
7.7.2a;whether my identifying information (name, date of birth etc) would be included or not;NA
7.7.2a;who has control over access to my information;NA
7.7.2a;what sorts of research my information could be used in;NA
7.7.2a;the potential risks and benefits of making a donation;NA
