codigo;seccion;pregunta;tipo_datos;Observacion
q_1.1.1a;1;Have you ever had any personal information online (that you put there or someone else did)?;categorico ;NA
q_1.1.1b;1;Please click on all that apply;uniones;NA
q_1.1.2a;1;Let’s assume you have the following personal information online: holiday photographs, your bank account, your medical information and your DNA information./ Do you think these pieces of information should have the same levels of protection against unauthorised use?;categorico;NA
1.1.2b;1;scale: Holiday photos;numerico;Please order the list below from 1 to 4.1 needing the least protection, 4 needing the most. Some pieces can have the same number if you like.
1.1.2c;1;scale: Bank information;numerico;Please order the list below from 1 to 4.1 needing the least protection, 4 needing the most. Some pieces can have the same number if you like.
1.1.2d;1;scale: Medical information;numerico;Please order the list below from 1 to 4.1 needing the least protection, 4 needing the most. Some pieces can have the same number if you like.
1.1.2e;1;scale: DNA information;numerico;Please order the list below from 1 to 4.1 needing the least protection, 4 needing the most. Some pieces can have the same number if you like.
1.1.3a;1;Have you had any negative experiences from your personal information being accessed online?;categorico ;NA
1.1.3b;1;Have you had any negative experiences from your personal information being accessed online? (Text);lenguaje natural;NA
1.1.4a;1; Are you familiar with DNA, genetics or genomics?;categorico ;NA
1.1.4b;1; I'm familiar through my work, personal interests or family/medical history (details);uniones;Can you elaborate on that further? Please tick all that apply to you. I am a...
1.1.4c;1; I'm familiar through my work, personal interests or family/medical history (details) (Other);uniones;NA
2.2.1a;2; Do you know who has online access to your medical information?;categorico ;NA
2.2.2a;2; Are you worried about who might have access to your medical information;categorico ;NA
2.2.3a;2; Do you know who has online access to your DNA information;categorico ;NA
2.2.4a;2; Are you worried about who might have access to your DNA information;categorico ;NA
2.2.5a;2; Is DNA information different to medical information What do you think?;categorico ;NA
2.2.5b;2; Is DNA information different to medical information What do you think? (Text);lenguaje natural;NA
2.2.6a;2; Would being offered a DNA readout influence your decision to donate;categorico ;NA
3.3.1a;3; Would you donate your DNA and medical information for use by medical doctors?;categorico ;Let’s assume… you were given the choice to donate your anonymous DNA information and medical information into a database AND it would only be accessed by medical doctors making a diagnosis in a patient. Whilst there might be benefits to patients from this work, medical doctors might benefit too.  For example, through getting more diagnoses for patients and therefore being better at their jobs or getting scientific publications. Given the above assumptions, would you donate your anonymous DNA information and medical information for use by medical doctors?
3.3.1b;3; Would you donate your DNA and medical information for use by medical doctors? (Text);lenguaje natural;Let’s assume… you were given the choice to donate your anonymous DNA information and medical information into a database AND it would only be accessed by medical doctors making a diagnosis in a patient. Whilst there might be benefits to patients from this work, medical doctors might benefit too.  For example, through getting more diagnoses for patients and therefore being better at their jobs or getting scientific publications. Given the above assumptions, would you donate your anonymous DNA information and medical information for use by medical doctors?
